frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
661;25;2069535;76947;8
662;25;2080530;77813;7
663;25;2076135;77944;6
664;25;2071215;77965;6
665;25;2072580;77628;6
666;25;2081475;77873;7
667;25;2068950;77663;7
668;25;2080860;72932;6
669;25;2078580;77901;6
670;25;2087280;77745;6
671;25;2077770;77568;6
672;25;2084295;77265;7
673;25;2085540;77856;6
674;25;2095650;77202;7
675;25;2100675;77933;7
676;25;2092350;77692;7
677;25;2057535;76872;6
678;25;2062275;76770;7
679;25;2067465;76968;7
680;25;2061555;75877;6
681;25;2069880;76434;7
682;25;2078295;76822;7
683;25;2065065;76722;7
684;25;2070555;77122;7
685;25;2066595;76316;6
686;25;2062230;76711;7
687;25;2067225;77368;7
688;25;2075055;77195;8
689;25;2082045;77891;7
690;25;2080125;77317;7
691;25;2075130;77606;7
692;25;2065260;77147;7
693;25;2070420;77496;6
694;25;2057670;76405;6
695;25;2056800;76925;7
696;25;2058615;75825;6
697;25;2059800;76272;6
698;25;2060895;76629;7
699;25;2062380;76535;7
700;25;2060265;76716;6
701;25;2053200;76834;6
702;25;2055645;76800;7
703;25;2053590;75862;6
704;25;2066205;77843;6
705;25;2071335;76911;7
706;25;2068680;72207;10
707;25;2061315;77120;6
708;25;2072085;77514;10
709;25;2079465;77651;10
710;25;2069535;76893;6
711;25;2079255;77473;6
712;25;2070750;77108;6
713;25;2078955;77619;6
714;25;2065665;76750;8
715;25;2061945;77090;7
716;25;2063160;76467;7
717;25;2074245;77306;7
718;25;2066025;76672;7
719;25;2059710;76615;7
720;25;2064675;76413;7
721;25;2065005;76094;6
722;25;2065770;76661;6
723;25;2054655;77023;7
724;25;2067555;76841;6
725;25;2067870;76639;8
726;25;2066130;76734;7
727;25;2075040;77386;7
728;25;2063595;76736;6
729;25;2063340;76573;8
730;25;2071275;77153;7
731;25;2072025;77616;8
732;25;2071695;77404;6
733;25;2065515;77248;7
734;25;2065080;76799;7
735;25;2064375;77046;7
736;25;2059890;76734;7
737;25;2061810;76767;6
738;25;2062425;76278;7
739;25;2057850;77160;6
740;25;2055165;77051;7
741;25;2050485;77019;6
742;25;2056905;76470;6
743;25;2058255;77336;7
744;25;2053740;77197;7
745;25;2068710;78180;7
746;25;2074050;77483;6
747;25;2065095;78030;7
748;25;2062200;76970;7
749;25;2074155;77566;7
750;25;2078235;77562;6
751;25;2066595;77107;7
752;25;2083260;77040;7
753;25;2084640;76644;6
754;25;2075970;76867;6
755;25;2072580;77200;6
756;25;2082570;76844;8
757;25;2089920;77177;7
758;25;2072670;77329;7
759;25;2070375;77187;7
760;25;2086395;77905;6
761;25;2065710;76912;6
762;25;2082375;76807;7
763;25;2072745;77181;6
764;25;2066040;76933;6
765;25;2077590;76362;6
766;25;2065515;77634;7
767;25;2062245;76798;6
768;25;2069820;76917;7
769;25;2073600;76801;6
770;25;2072535;77575;7
771;25;2062635;77233;7
772;25;2071290;76742;7
773;25;2057100;76818;6
774;25;2061675;76545;6
775;25;2067915;77332;7
776;25;2070915;76880;9
777;25;2063070;76348;6
778;25;2060730;76754;7
779;25;2069160;77369;7
780;25;2060565;76932;7
781;25;2048700;76473;7
782;25;2059560;77937;8
783;25;2068455;77836;6
784;25;2069760;77245;7
785;25;2060505;76318;7
786;25;2071680;76975;6
787;25;2073990;77417;6
788;25;2060685;76204;7
789;25;2062215;76588;6
790;25;2075190;76877;6
791;25;2067600;76862;7
792;25;2076930;76481;7
793;25;2062920;75995;7
794;25;2067630;76870;6
795;25;2067960;76801;7
796;25;2074185;77195;6
797;25;2073315;76485;6
798;25;2067210;77073;6
799;25;2069115;72550;7
800;25;2068305;77950;7
801;25;2069805;76931;6
802;25;2074335;77443;6
803;25;2065980;77177;6
804;25;2064375;76932;6
805;25;2070195;72639;7
806;25;2068365;77369;6
807;25;2071050;77149;6
808;25;2060295;76417;7
809;25;2056515;76736;6
810;25;2057880;76316;7
811;25;2051925;77129;6
812;25;2054565;76620;6
813;25;2058750;71832;6
814;25;2052390;76336;7
815;25;2045160;76285;6
816;25;2052735;76364;7
817;25;2054535;76532;6
818;25;2072070;76669;6
819;25;2062410;72395;8
820;25;2067585;77487;6
821;25;2068935;76859;6
822;25;2081640;76732;6
823;25;2078010;76931;6
824;25;2071815;76804;6
825;25;2063040;76628;6
826;25;2077440;76995;7
827;25;2064225;76814;8
828;25;2073840;77646;7
829;25;2067930;77965;7
830;25;2075865;77166;6
831;25;2064345;76644;6
832;25;2072610;77069;7
833;25;2071410;77266;7
834;25;2072820;77543;7
835;25;2063820;77179;7
836;25;2081280;76891;7
837;25;2070030;76792;7
838;25;2071065;72346;6
839;25;2069145;77039;6
840;25;2079195;77227;6
841;25;2083890;77337;7
842;25;2075115;77190;6
843;25;2075670;77613;7
844;25;2075535;76967;7
845;25;2071665;77283;6
846;25;2056290;77561;6
847;25;2053305;76563;6
848;25;2067405;76083;7
849;25;2064255;76293;8
850;25;2058900;76508;7
851;25;2057730;76164;6
852;25;2052135;75957;6
853;25;2050035;75554;6
854;25;2058675;75544;6
855;25;2049015;76121;7
856;25;2059035;76819;6
857;25;2061390;76255;6
858;25;2067000;77333;7
859;25;2077785;77139;7
860;25;2080920;76870;6
861;25;2084205;77634;6
862;25;2088945;78559;6
863;25;2089275;77914;7
864;25;2094840;78132;7
865;25;2076285;77483;7
866;25;2087550;77374;7
867;25;2086995;77422;7
868;25;2083095;76789;6
869;25;2084850;77766;7
870;25;2090850;78477;7
871;25;2093100;78234;7
872;25;2097225;77249;9
873;25;2093145;77795;7
874;25;2099820;78560;7
875;25;2111940;78507;7
876;25;2136585;80484;8
877;25;2165445;82195;7
878;25;2182620;82536;7
879;25;2186235;83449;7
880;25;2204055;84219;7
881;25;2204400;85296;7
882;25;2220585;84189;7
883;25;2218290;84738;7
884;25;2220825;84731;7
885;25;2220555;79402;7
886;25;2212545;84192;7
887;25;2215905;83972;7
888;25;2212680;85128;11
889;25;2216355;83740;7
890;25;2209230;84498;7
891;25;2203560;84555;7
892;25;2203935;84572;7
893;25;2194035;79378;7
894;25;2192895;83369;7
895;25;2175825;78160;7
896;25;2166225;82688;7
897;25;2163645;83039;7
898;25;2174535;83147;7
899;25;2167740;83451;8
900;25;2166045;83111;7
901;25;2164650;82119;7
902;25;2156430;81997;7
903;25;2174910;83034;7
904;25;2160900;82561;7
905;25;2174970;83333;8
906;25;2181375;82686;7
907;25;2172255;83212;7
908;25;2165175;83001;7
909;25;2132835;81857;7
910;25;2125140;81587;7
911;25;2114250;80796;7
912;25;2115570;80515;6
913;25;2110455;80519;7
914;25;2112735;80405;7
915;25;2125365;81293;8
916;25;2134215;81501;7
917;25;2147145;82122;7
918;25;2144175;81263;8
919;25;2134095;81753;7
920;25;2126775;80732;7
921;25;2135025;80407;7
