frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
700;15;2060265;49157;5
701;15;2053200;49149;5
702;15;2055645;48724;4
703;15;2053590;48830;4
704;15;2066205;49589;4
705;15;2071335;49231;4
706;15;2068680;46622;4
707;15;2061315;49332;5
708;15;2072085;49399;4
709;15;2079465;49806;5
710;15;2069535;49285;4
711;15;2079255;49622;4
712;15;2070750;49556;4
713;15;2078955;49471;5
714;15;2065665;49636;6
715;15;2061945;49085;5
716;15;2063160;49275;4
717;15;2074245;49438;4
718;15;2066025;48977;4
719;15;2059710;49042;4
720;15;2064675;48720;5
721;15;2065005;48796;5
722;15;2065770;48858;5
723;15;2054655;49374;4
724;15;2067555;48958;4
725;15;2067870;49364;4
726;15;2066130;49300;5
727;15;2075040;49539;4
728;15;2063595;49101;4
729;15;2063340;49295;4
730;15;2071275;49189;4
731;15;2072025;49222;4
732;15;2071695;49465;4
733;15;2065515;49505;4
734;15;2065080;49334;4
735;15;2064375;49348;5
736;15;2059890;48943;4
737;15;2061810;48946;4
738;15;2062425;48856;4
739;15;2057850;49552;4
740;15;2055165;49273;4
741;15;2050485;49484;5
742;15;2056905;48764;4
743;15;2058255;49748;4
744;15;2053740;49743;4
745;15;2068710;50267;4
746;15;2074050;49535;5
747;15;2065095;49877;4
748;15;2062200;49281;5
749;15;2074155;49509;5
750;15;2078235;49366;4
751;15;2066595;48987;4
752;15;2083260;49285;4
753;15;2084640;48903;4
754;15;2075970;49050;4
755;15;2072580;49288;5
756;15;2082570;49253;5
757;15;2089920;49202;4
758;15;2072670;49394;4
759;15;2070375;48857;4
760;15;2086395;49397;4
761;15;2065710;48998;4
762;15;2082375;48950;4
763;15;2072745;49394;4
764;15;2066040;49303;4
765;15;2077590;48823;4
766;15;2065515;49330;4
767;15;2062245;48830;4
768;15;2069820;49386;4
769;15;2073600;49142;4
770;15;2072535;49606;4
771;15;2062635;49146;4
772;15;2071290;48948;4
773;15;2057100;48913;4
774;15;2061675;48727;4
775;15;2067915;49315;4
776;15;2070915;49111;4
777;15;2063070;46673;4
778;15;2060730;49062;4
779;15;2069160;49685;5
780;15;2060565;49313;4
781;15;2048700;48920;5
782;15;2059560;49884;5
783;15;2068455;49365;4
784;15;2069760;49318;5
785;15;2060505;48510;4
786;15;2071680;48906;4
787;15;2073990;49365;4
788;15;2060685;48760;4
789;15;2062215;48660;4
790;15;2075190;49056;4
791;15;2067600;48809;4
792;15;2076930;49115;4
793;15;2062920;48485;5
794;15;2067630;49371;4
795;15;2067960;48910;4
796;15;2074185;48869;4
797;15;2073315;49051;4
798;15;2067210;49230;4
799;15;2069115;48464;5
800;15;2068305;49726;5
801;15;2069805;49128;4
802;15;2074335;48788;4
803;15;2065980;49146;5
804;15;2064375;49429;4
805;15;2070195;49075;4
806;15;2068365;49198;4
807;15;2071050;49512;4
808;15;2060295;48787;4
809;15;2056515;49106;4
810;15;2057880;48872;4
811;15;2051925;48915;5
812;15;2054565;48578;4
813;15;2058750;45986;4
814;15;2052390;48918;4
815;15;2045160;48383;4
816;15;2052735;48838;5
817;15;2054535;48582;5
818;15;2072070;49134;4
819;15;2062410;49141;4
820;15;2067585;49316;4
821;15;2068935;49028;4
822;15;2081640;49465;4
823;15;2078010;49605;4
824;15;2071815;49016;4
825;15;2063040;48618;4
826;15;2077440;49366;4
827;15;2064225;48888;5
828;15;2073840;49196;4
829;15;2067930;49470;4
830;15;2075865;49230;4
831;15;2064345;49371;4
832;15;2072610;49408;4
833;15;2071410;49405;5
834;15;2072820;49124;4
835;15;2063820;49172;4
836;15;2081280;49645;4
837;15;2070030;49509;4
838;15;2071065;46054;4
839;15;2069145;49396;4
840;15;2079195;49561;4
841;15;2083890;49070;4
842;15;2075115;49139;4
843;15;2075670;49438;4
844;15;2075535;49321;4
845;15;2071665;49217;4
846;15;2056290;49058;4
847;15;2053305;48831;4
848;15;2067405;48859;4
849;15;2064255;48663;5
850;15;2058900;48956;4
851;15;2057730;48732;5
852;15;2052135;48823;4
853;15;2050035;48481;4
854;15;2058675;49061;4
855;15;2049015;49021;5
856;15;2059035;49252;4
857;15;2061390;48702;4
858;15;2067000;49333;4
859;15;2077785;49633;5
860;15;2080920;49368;4
